Year-Month,Average Exchange Rate (USD/INR)
2014-04,60.3
2014-05,59.67
2014-06,59.63
2014-07,60.03
2014-08,60.74
2014-09,60.76
2014-10,61.2
2014-11,61.48
2014-12,62.62
2015-01,61.98
2015-02,61.89
2015-03,62.33
2015-04,62.47
2015-05,63.6
2015-06,63.82
2015-07,63.62
2015-08,65.03
2015-09,66.12
2015-10,65.02
2015-11,65.78
2015-12,66.41
2016-01,67.85
2016-02,67.92
2016-03,67.41
2016-04,66.62
2016-05,67.2
2016-06,67.37
2016-07,67.17
2016-08,66.99
2016-09,66.77
2016-10,66.7
2016-11,66.96
2016-12,67.67
2017-01,68
2017-02,66.93
2017-03,65.97
2017-04,64.56
2017-05,64.4
2017-06,64.5
2017-07,64.19
2017-08,63.94
2017-09,64.06
2017-10,65.12
2017-11,65.05
2017-12,64.23
2018-01,63.7
2018-02,64.46
2018-03,65.05
2018-04,66.2
2018-05,67.44
2018-06,67.89
2018-07,68.64
2018-08,69.47
2018-09,72.10
2018-10,73.58
2018-11,71.97
2018-12,70.78
2019-01,70.63
2019-02,71.23
2019-03,69.66
2019-04,69.43
2019-05,69.79
2019-06,69.49
2019-07,68.76
2019-08,71.11
2019-09,71.38
2019-10,71.03
2019-11,71.47
2019-12,71.21
2020-01,71.29
2020-02,71.59
2020-03,74.53
2020-04,76.36
2020-05,75.74
2020-06,75.81
2020-07,74.97
2020-08,74.66
2020-09,73.57
2020-10,73.57
2020-11,74.27
2020-12,73.74
2021-01,73.14
2021-02,72.80
2021-03,72.80
2021-04,74.45
2021-05,73.25
2021-06,73.55
2021-07,74.53
2021-08,74.17
2021-09,73.55
2021-10,74.91
2021-11,74.47
2021-12,75.43
2022-01,74.45
2022-02,74.96
2022-03,76.22
2022-04,76.19
2022-05,77.30
2022-06,78.02
2022-07,79.52
2022-08,79.57
2022-09,80.14
2022-10,82.29
2022-11,81.33
2022-12,82.68
2023-01,81.56
2023-02,82.39
2023-03,82.17
2023-04,81.99
2023-05,82.33
2023-06,82.16
2023-07,82.01
2023-08,82.83
2023-09,83.09
2023-10,83.22
2023-11,83.3
2023-12,83.25
2024-01,83.16
2024-02,83.01
2024-03,83.11
2024-04,83.37
2024-05,83.47
2024-06,83.49
2024-07,83.69
2024-08,83.89
2024-09,83.79
2024-10,84.07
2024-11,84.3
2024-12,84.86
2025-01,85.71
2025-02,86.98
2025-03,86.23
