,FPI (INR crores),,,,,,,
Year,Month,Equity,Debt,Total,Exchange Rate USD/INR,,Reference ,NSDL : FPI Investments
2014,April,9600,-9185,418,60.3,,,
2014,May,14007,19771,33778,59.67,,,
2014,June,13990,16715,30705,59.63,,,
2014,July,13110,22935,36045,60.03,,,
2014,August,5431,16704,22135,60.74,,,
2014,September,5104,15869,20973,60.76,,,
2014,October,-1172,17901,16729,61.2,,,
2014,November,13756,11723,25479,61.48,,,
2014,December,1036,11189,12225,62.62,,,
2015,January,12919,20768,33687,61.98,,,
2015,February,11475,13089,24564,61.89,,,
2015,March,12076,8649,20725,62.33,,,
2015,April,11721,3610,15331,62.47,,,
2015,May,-5769,-8503,-14272,63.6,,,
2015,June,-3344,1737,-1607,63.82,,,
2015,July,5321,2,5323,63.62,,,
2015,August,-16878,-646,-17524,65.03,,,
2015,September,-6477,690,-5787,66.12,,,
2015,October,6649,15703,22352,65.02,,,
2015,November,-7074,-3754,-10828,65.78,,,
2015,December,-2818,-5489,-8307,66.41,,,
2016,January,-11127,2313,-8814,67.85,,,
2016,February,-5522,-8194,-13716,67.92,,,
2016,March,21142,-1477,19665,67.41,,,
2016,April,8415,6418,14833,66.62,,,
2016,May,2542,-4409,-1867,67.2,,,
2016,June,3714,-6221,-2507,67.37,,,
2016,July,12611,6847,19458,67.17,,,
2016,August,9071,-2626,6445,66.99,,,
2016,September,10444,9789,20233,66.77,,,
2016,October,-4306,-6000,-10306,66.7,,,
2016,November,-18244,-21151,-39395,66.96,,,
2016,December,-8177,-18933,-27110,67.67,,,
2017,January,-1177,-2319,-3496,68,,,
2017,February,9902,5960,15862,66.93,,,
2017,March,30906,25355,56261,65.97,,,
2017,April,2394,20364,22758,64.56,,,
2017,May,7711,19155,26866,64.4,,,
2017,June,3617,25685,29302,64.5,,,
2017,July,5161,18867,24028,64.19,,,
2017,August,-12770,15447,2677,63.94,,,
2017,September,-11392,1349,-10043,64.06,,,
2017,October,3055,16064,19119,65.12,,,
2017,November,19728,531,20258,65.05,,,
2017,December,-5883,2350,-3544,64.23,,,
2018,January,13781,8523,22272,63.7,,,
2018,February,-11423,-254,-11674,64.46,,,
2018,March,11654,-9044,2662,65.05,,,
2018,April,-5552,-10036,-15561,66.2,,,
2018,May,-10060,-19654,-29776,67.44,,,
2018,June,-4831,-10970,-15795,67.89,,,
2018,July,2264,43,2264,68.64,,,
2018,August,1775,3414,5146,69.47,,,
2018,September,-10825,-10198,-21035,72.10,,,
2018,October,-28921,-9978,-38906,73.58,,,
2018,November,5981,5610,11595,71.97,,,
2018,December,3143,4749,7889,70.78,,,
2019,January,-4262,-1301,-5556,70.63,,,
2019,February,17220,-6037,12053,71.23,,,
2019,March,33981,12002,48751,69.66,,,
2019,April,21193,-5099,16728,69.43,,,
2019,May,7920,1187,11370,69.79,,,
2019,June,2596,8319,13111,69.49,,,
2019,July,-12419,9433,-3003,68.76,,,
2019,August,-17592,11672,-5871,71.11,,,
2019,September,7548,-990,6582,71.38,,,
2019,October,12368,3670,16069,71.03,,,
2019,November,25231,-2358,22999,71.47,,,
2019,December,7338,-4616,2762,71.21,,,
2020,January,12123,-11648,957,71.29,,,
2020,February,1820,2097,8970,71.59,,,
2020,March,-61973,-60376,-118203,74.53,,,
2020,April,-6884,-12552,-14859,76.36,,,
2020,May,14569,-22935,-7356,75.74,,,
2020,June,21832,-1545,26009,75.81,,,
2020,July,7563,-2476,3301,74.97,,,
2020,August,47080,-3310,49879,74.66,,,
2020,September,-7783,3958,-1196,73.57,,,
2020,October,19541,1641,21826,73.57,,,
