Month/Year,Forex reserve (USD BN),Exchange rate USD/INR
Apr-14,621.9726,60.3
May-14,624.414,59.67
Jun-14,632.276,59.63
Jul-14,639.616,60.03
Aug-14,636.7994,60.74
Sep-14,627.6824,60.76
Oct-14,631.8202,61.2
Nov-14,631.1168,61.48
Dec-14,641.2976,62.62
Jan-15,657.3778,61.98
Feb-15,675.4664,61.89
Mar-15,683.2768,62.33
Apr-15,703.7376,62.47
May-15,704.9578,63.6
Jun-15,712.002,63.82
Jul-15,706.921,63.62
Aug-15,702.8752,65.03
Sep-15,700.5772,66.12
Oct-15,708.3536,65.02
Nov-15,700.4944,65.78
Dec-15,700.7628,66.41
Jan-16,699.2178,67.85
Feb-16,696.8362,67.92
Mar-16,720.3524,67.41
Apr-16,726.098,66.62
May-16,723.21,67.2
Jun-16,727.0122,67.37
Jul-16,733.0078,67.17
Aug-16,733.6,66.99
Sep-16,743.9806,66.77
Oct-16,732.4232,66.7
Nov-16,722.242,66.96
Dec-16,717.796,67.67
Jan-17,725.9052,68
Feb-17,728.518,66.93
Mar-17,739.9094,65.97
Apr-17,746.6038,64.56
May-17,760.2008,64.4
Jun-17,773.0788,64.5
Jul-17,787.3104,64.19
Aug-17,795.6442,63.94
Sep-17,800.4106,64.06
Oct-17,798.4496,65.12
Nov-17,803.884,65.05
Dec-17,818.1444,64.23
Jan-18,844.733,63.7
Feb-18,841.9256,64.46
Mar-18,849.0896,65.05
Apr-18,841.034,66.2
May-18,824.746,67.44
Jun-18,811.4806,67.89
Jul-18,807.3496,68.64
Aug-18,800.2038,69.47
Sep-18,801.0502,72.10
Oct-18,784.1698,73.58
Nov-18,787.436,71.97
Dec-18,791.1822,70.78
Jan-19,800.3804,70.63
Feb-19,804.725,71.23
Mar-19,825.74174,69.66
Apr-19,837.5862,69.43
May-19,843.7356,69.79
Jun-19,859.6742,69.49
Jul-19,857.64048,68.76
Aug-19,856.69858,71.11
Sep-19,867.4143,71.38
Oct-19,890.226062,71.03
Nov-19,902.51712,71.47
Dec-19,919.72638,71.21
Jan-20,942.59916,71.29
Feb-20,962.51226,71.59
Mar-20,955.61356,74.53
Apr-20,962.15514,76.36
May-20,987.11906,75.74
Jun-20,1011.403,75.81
Jul-20,1069.13572,74.97
Aug-20,1085.76168,74.66
Sep-20,1089.37466,73.57
Oct-20,1120.38102,73.57
Nov-20,1149.64167,74.27
Dec-20,1171.54126,73.74
Jan-21,1180.6429,73.14
Feb-21,1169.10846,72.80
Mar-21,1153.96778,72.80
Apr-21,1176.0408,74.45
May-21,1197.75412,73.25
Jun-21,1222.14994,73.55
Jul-21,1240.12326,74.53
Aug-21,1281.4064,74.17
Sep-21,1270.72554,73.55
Oct-21,1280.7879,74.91
Nov-21,1275.99348,74.47
Dec-21,1267.22862,75.43
Jan-22,1259.89306,74.45
Feb-22,1263.7263,74.96
Mar-22,1214.61826,76.22
Apr-22,1193.34606,76.19
May-22,1206.40616,77.30
Jun-22,1178.30914,78.02
Jul-22,1148.50324,79.52
Aug-22,1120.75518,79.57
Sep-22,1065.32744,80.14
Oct-22,1068.04408,82.29
Nov-22,1106.3393,81.33
Dec-22,1125.44112,82.68
Jan-23,1148.83286,81.56
Feb-23,1125.44598,82.39
Mar-23,1156.8983,82.17
Apr-23,1180.19452,81.99
May-23,1181.433,82.33
Jun-23,1190.10276,82.16
Jul-23,1211.62088,82.01
Aug-23,1196.48202,82.83
Sep-23,1175.4276,83.09
Oct-23,1176.92284,83.22
Nov-23,1208.34338,83.3
Dec-23,1244.90458,83.25
Jan-24,1239.92522,83.16
Feb-24,1250.32998,83.01
Mar-24,1292.8377,83.11
Apr-24,1280.40136,83.37
May-24,1303.01996,83.47
Jun-24,1303.99452,83.49
Jul-24,1341.230152,83.69
Aug-24,1364.4615,83.89
Sep-24,1411.56452,83.79
Oct-24,1364.25992,84.07
Nov-24,1318.86572,84.3
Dec-24,1271.40285,84.86
Jan-25,1261.214774,85.71
Feb-25,1277.39681,86.98
Mar-25,1336.65244,86.23
