Year,Quarter,GDP Growth Rate IND (%),GDP Growth Rate USA (%),Exchange rate Quarterly (USD/INR)
2015,Q1,1.70,0.60,62.33
2015,Q2,2.10,2.50,63.82
2015,Q3,1.80,1.60,66.12
2015,Q4,2.00,0.70,66.41
2016,Q1,2.90,2.30,67.41
2016,Q2,1.80,1.30,67.37
2016,Q3,2.30,2.90,66.77
2016,Q4,1.40,2.20,67.67
2017,Q1,0.80,2.00,65.97
2017,Q2,2.10,2.30,64.5
2017,Q3,1.60,3.20,64.06
2017,Q4,1.90,4.60,64.23
2018,Q1,2.10,3.30,65.05
2018,Q2,1.30,2.10,67.89
2018,Q3,1.40,2.50,72.1
2018,Q4,1.50,0.60,70.78
2019,Q1,1.00,2.50,69.66
2019,Q2,1.30,3.40,69.49
2019,Q3,0.60,4.80,71.38
2019,Q4,0.20,2.80,71.21
2020,Q1,0.20,-5.50,74.53
2020,Q2,-22.80,-28.10,75.81
2020,Q3,22.60,35.20,73.57
2020,Q4,6.80,4.40,73.74
2021,Q1,1.40,5.60,72.8
2021,Q2,-7.20,6.40,73.55
2021,Q3,9.50,3.50,73.55
2021,Q4,1.90,7.40,75.43
2022,Q1,0.60,-1.00,76.22
2022,Q2,0.90,0.30,78.02
2022,Q3,2.10,2.70,80.14
2022,Q4,1.40,3.40,82.68
2023,Q1,2.50,2.80,82.17
2023,Q2,2.90,2.40,82.16
2023,Q3,2.00,4.40,83.09
2023,Q4,1.80,3.20,83.25
2024,Q1,1.70,1.60,83.11
2024,Q2,1.20,3.00,83.49
2024,Q3,1.40,3.10,83.79
2024,Q4,1.60,2.40,84.86
