Year-Month,"Inflation Rate (CPI, % YoY)",Exchange rate USD/INR
Apr-15,4.87%,62.47
May-15,5.01%,63.6
Jun-15,5.40%,63.82
Jul-15,3.78%,63.62
Aug-15,3.66%,65.03
Sep-15,4.41%,66.12
Oct-15,5.00%,65.02
Nov-15,5.41%,65.78
Dec-15,5.61%,66.41
Jan-16,5.69%,67.85
Feb-16,5.26%,67.92
Mar-16,4.83%,67.41
Apr-16,5.39%,66.62
May-16,5.76%,67.2
Jun-16,5.77%,67.37
Jul-16,6.07%,67.17
Aug-16,5.05%,66.99
Sep-16,4.31%,66.77
Oct-16,4.20%,66.7
Nov-16,3.63%,66.96
Dec-16,3.41%,67.67
Jan-17,3.17%,68
Feb-17,3.65%,66.93
Mar-17,3.89%,65.97
Apr-17,2.99%,64.56
May-17,2.18%,64.4
Jun-17,1.46%,64.5
Jul-17,2.36%,64.19
Aug-17,3.36%,63.94
Sep-17,3.28%,64.06
Oct-17,3.58%,65.12
Nov-17,4.88%,65.05
Dec-17,5.21%,64.23
Jan-18,5.07%,63.7
Feb-18,4.44%,64.46
Mar-18,4.28%,65.05
Apr-18,4.58%,66.2
May-18,4.87%,67.44
Jun-18,5.00%,67.89
Jul-18,4.17%,68.64
Aug-18,3.69%,69.47
Sep-18,3.77%,72.10
Oct-18,3.31%,73.58
Nov-18,2.33%,71.97
Dec-18,2.19%,70.78
Jan-19,1.97%,70.63
Feb-19,2.57%,71.23
Mar-19,2.86%,69.66
Apr-19,2.92%,69.43
May-19,3.05%,69.79
Jun-19,3.18%,69.49
Jul-19,3.15%,68.76
Aug-19,3.21%,71.11
Sep-19,3.99%,71.38
Oct-19,4.62%,71.03
Nov-19,5.54%,71.47
Dec-19,7.35%,71.21
Jan-20,7.59%,71.29
Feb-20,6.58%,71.59
Mar-20,5.84%,74.53
Apr-20,7.22%,76.36
May-20,6.27%,75.74
Jun-20,6.23%,75.81
Jul-20,6.73%,74.97
Aug-20,6.69%,74.66
Sep-20,7.27%,73.57
Oct-20,7.61%,73.57
Nov-20,6.93%,74.27
Dec-20,4.59%,73.74
Jan-21,4.06%,73.14
Feb-21,5.03%,72.80
Mar-21,5.52%,72.80
Apr-21,4.29%,74.45
May-21,6.30%,73.25
Jun-21,6.26%,73.55
Jul-21,5.59%,74.53
Aug-21,5.30%,74.17
Sep-21,4.35%,73.55
Oct-21,4.48%,74.91
Nov-21,4.91%,74.47
Dec-21,5.59%,75.43
Jan-22,6.01%,74.45
Feb-22,6.07%,74.96
Mar-22,6.95%,76.22
Apr-22,7.79%,76.19
May-22,7.04%,77.30
Jun-22,7.01%,78.02
Jul-22,6.71%,79.52
Aug-22,7.00%,79.57
Sep-22,7.41%,80.14
Oct-22,6.77%,82.29
Nov-22,5.88%,81.33
Dec-22,5.72%,82.68
Jan-23,6.52%,81.56
Feb-23,6.44%,82.39
Mar-23,5.66%,82.17
Apr-23,4.70%,81.99
May-23,4.25%,82.33
Jun-23,4.81%,82.16
Jul-23,7.44%,82.01
Aug-23,6.83%,82.83
Sep-23,5.02%,83.09
Oct-23,4.87%,83.22
Nov-23,5.55%,83.3
Dec-23,5.69%,83.25
Jan-24,5.10%,83.16
Feb-24,5.09%,83.01
Mar-24,4.85%,83.11
Apr-24,4.83%,83.37
May-24,4.75%,83.47
Jun-24,5.08%,83.49
Jul-24,6.71%,83.69
Aug-24,6.83%,83.89
Sep-24,5.02%,83.79
Oct-24,4.87%,84.07
Nov-24,5.02%,84.3
Dec-24,5.69%,84.86
Jan-25,5.10%,85.71
Feb-25,5.09%,86.98
Mar-25,4.85%,86.23
