Year,Month,Repo Rate (%) INR,Fedral Fund Rate (%) USD,Exchange rate USD/INR
2015,January,7.75,0.11,61.98
2015,February,7.75,0.11,61.89
2015,March,7.5,0.11,62.33
2015,April,7.5,0.12,62.47
2015,May,7.5,0.12,63.6
2015,June,7.25,0.13,63.82
2015,July,7.25,0.13,63.62
2015,August,7.25,0.14,65.03
2015,September,6.75,0.14,66.12
2015,October,6.75,0.12,65.02
2015,November,6.75,0.12,65.78
2015,December,6.75,0.24,66.41
2016,January,6.75,0.34,67.85
2016,February,6.75,0.38,67.92
2016,March,6.75,0.36,67.41
2016,April,6.5,0.37,66.62
2016,May,6.5,0.37,67.2
2016,June,6.5,0.38,67.37
2016,July,6.5,0.39,67.17
2016,August,6.5,0.4,66.99
2016,September,6.5,0.4,66.77
2016,October,6.25,0.4,66.7
2016,November,6.25,0.41,66.96
2016,December,6.25,0.54,67.67
2017,January,6.25,0.65,68
2017,February,6.25,0.66,66.93
2017,March,6.25,0.79,65.97
2017,April,6.25,0.9,64.56
2017,May,6.25,0.91,64.4
2017,June,6.25,1.04,64.5
2017,July,6.25,1.15,64.19
2017,August,6,1.16,63.94
2017,September,6,1.15,64.06
2017,October,6,1.15,65.12
2017,November,6,1.16,65.05
2017,December,6,1.3,64.23
2018,January,6,1.41,63.7
2018,February,6,1.42,64.46
2018,March,6,1.51,65.05
2018,April,6,1.69,66.2
2018,May,6,1.7,67.44
2018,June,6.25,1.82,67.89
2018,July,6.25,1.91,68.64
2018,August,6.5,1.91,69.47
2018,September,6.5,1.95,72.10
2018,October,6.5,2.19,73.58
2018,November,6.5,2.2,71.97
2018,December,6.5,2.27,70.78
2019,January,6.5,2.4,70.63
2019,February,6.25,2.4,71.23
2019,March,6.25,2.41,69.66
2019,April,6,2.42,69.43
2019,May,6,2.39,69.79
2019,June,5.75,2.38,69.49
2019,July,5.75,2.4,68.76
2019,August,5.4,2.13,71.11
2019,September,5.4,2.04,71.38
2019,October,5.4,1.83,71.03
2019,November,5.4,1.55,71.47
2019,December,5.4,1.55,71.21
2020,January,5.4,1.55,71.29
2020,February,5.15,1.58,71.59
2020,March,4.4,0.65,74.53
2020,April,4.4,0.05,76.36
2020,May,4,0.05,75.74
2020,June,4,0.08,75.81
2020,July,4,0.09,74.97
2020,August,4,0.1,74.66
2020,September,4,0.09,73.57
2020,October,4,0.09,73.57
2020,November,4,0.09,74.27
2020,December,4,0.09,73.74
2021,January,4,0.09,73.14
2021,February,4,0.08,72.80
2021,March,4,0.07,72.80
2021,April,4,0.07,74.45
2021,May,4,0.06,73.25
2021,June,4,0.08,73.55
2021,July,4,0.1,74.53
2021,August,4,0.09,74.17
2021,September,4,0.08,73.55
2021,October,4,0.08,74.91
2021,November,4,0.08,74.47
2021,December,4,0.08,75.43
2022,January,4,0.08,74.45
2022,February,4,0.08,74.96
2022,March,4,0.2,76.22
2022,April,4,0.33,76.19
2022,May,4.4,0.77,77.30
2022,June,4.9,1.21,78.02
2022,July,4.9,1.68,79.52
2022,August,5.4,2.33,79.57
2022,September,5.9,2.56,80.14
2022,October,5.9,3.08,82.29
2022,November,5.9,3.78,81.33
2022,December,6.25,4.1,82.68
2023,January,6.25,4.33,81.56
2023,February,6.5,4.57,82.39
2023,March,6.5,4.65,82.17
2023,April,6.5,4.83,81.99
2023,May,6.5,5.06,82.33
2023,June,6.5,5.08,82.16
2023,July,6.5,5.12,82.01
2023,August,6.5,5.33,82.83
2023,September,6.5,5.33,83.09
2023,October,6.5,5.33,83.22
2023,November,6.5,5.33,83.3
2023,December,6.5,5.33,83.25
2024,January,6.5,5.33,83.16
2024,February,6.5,5.33,83.01
2024,March,6.5,5.33,83.11
2024,April,6.5,5.33,83.37
2024,May,6.5,5.33,83.47
2024,June,6.5,5.33,83.49
2024,July,6.5,5.33,83.69
2024,August,6.5,5.33,83.89
2024,September,6.5,5.13,83.79
2024,October,6.5,4.83,84.07
2024,November,6.5,4.64,84.3
2024,December,6.5,4.48,84.86
