Month,Trade_Deficit_USD_Billion,Exports_USD_Billion,Imports_USD_Billion
Apr-2014,-10.41,24.16,34.57
May-2014,-11.23,28,39.23
Jun-2014,-11.76,26.48,38.24
Jul-2014,-12.35,27.72,40.07
Aug-2014,-10.68,26.95,37.63
Sep-2014,-14.33,28.35,42.68
Oct-2014,-13.69,26.09,39.78
Nov-2014,-16.86,25.96,42.82
Dec-2014,-9.17,25.39,34.56
Jan-2015,-8.31,23.88,32.19
Feb-2015,-6.85,21.55,28.4
Mar-2015,-11.79,24.71,36.5
Apr-2015,-10.99,22.05,33.04
May-2015,-10.4,22.34,32.74
Jun-2015,-10.83,22.28,33.11
Jul-2015,-12.81,23.13,35.94
Aug-2015,-12.47,21.27,33.74
Sep-2015,-10.49,21.84,32.33
Oct-2015,-9.77,21.35,31.12
Nov-2015,-9.79,20.01,29.8
Dec-2015,-7.87,22.29,30.16
Jan-2016,-7.63,21.07,28.7
Feb-2016,-6.53,20.73,27.26
Mar-2016,-5.07,22.71,27.78
Apr-2016,-4.84,20.57,25.41
May-2016,-6.27,22.17,28.44
Jun-2016,-8.11,22.57,30.68
Jul-2016,-7.76,21.69,29.45
Aug-2016,-7.67,21.51,29.18
Sep-2016,-8.34,22.88,31.22
Oct-2016,-10.41,23.51,33.92
Nov-2016,-13.01,20.24,33.25
Dec-2016,-10.37,23.88,34.25
Jan-2017,-9.84,22.13,31.97
Feb-2017,-8.98,24.53,33.51
Mar-2017,-10.41,29.23,39.64
Apr-2017,-13.25,24.63,37.88
May-2017,-14.62,24.01,38.63
Jun-2017,-16.6,23.56,40.16
Jul-2017,-11.45,23.04,34.49
Aug-2017,-11.64,23.81,35.45
Sep-2017,-11.67,28.47,40.14
Oct-2017,-14.01,23.1,37.11
Nov-2017,-16.82,26.19,43.01
Dec-2017,-15.25,27.03,42.28
Jan-2018,-16.3,26.31,42.61
Feb-2018,-12,25.83,37.83
Mar-2018,-13.69,29.11,42.8
Apr-2018,-16.3,25.91,42.21
May-2018,-14.62,28.86,43.48
Jun-2018,-16.6,27.7,44.3
Jul-2018,-18.02,25.77,43.79
Aug-2018,-17.39,27.84,45.23
Sep-2018,-14.95,27.95,42.9
Oct-2018,-17.13,26.09,43.22
Nov-2018,-16.67,26.49,43.16
Dec-2018,-13.08,27.93,41.01
Jan-2019,-14.73,26.36,41.09
Feb-2019,-9.85,26.67,36.52
Mar-2019,-10.89,32.55,43.44
Apr-2019,-15.33,26.07,41.4
May-2019,-15.36,29.99,45.35
Jun-2019,-15.28,25.01,40.29
Jul-2019,-13.43,25.83,39.26
Aug-2019,-13.45,26.13,39.58
Sep-2019,-10.86,26.03,36.89
Oct-2019,-11.01,26.38,37.39
Nov-2019,-12.12,25.98,38.1
Dec-2019,-12.49,27.36,39.85
Jan-2020,-15.17,25.97,41.14
Feb-2020,-9.85,27.74,37.59
Mar-2020,-6.76,21.41,28.17
Apr-2020,-0.6,10.36,10.96
May-2020,-3.15,19.05,22.2
Jun-2020,-5.85,21.91,27.76
Jul-2020,-4.83,23.64,28.47
Aug-2020,-6.77,22.7,29.47
Sep-2020,-2.91,27.58,30.49
Oct-2020,-8.71,24.89,33.6
Nov-2020,-9.96,23.52,33.48
Dec-2020,-15.71,26.89,42.6
Jan-2021,-14.54,27.24,41.78
Feb-2021,-12.62,27.93,40.55
Mar-2021,-13.93,34.45,48.38
Apr-2021,-15.1,30.21,45.31
May-2021,-6.53,32.27,38.8
Jun-2021,-9.4,32.5,41.9
Jul-2021,-11.23,35.17,46.4
Aug-2021,-13.81,33.28,47.09
Sep-2021,-22.59,33.14,55.73
Oct-2021,-19.73,35.65,55.38
Nov-2021,-22.91,30.04,52.95
Dec-2021,-21.68,37.81,59.49
Jan-2022,-17.42,34.5,51.92
Feb-2022,-20.88,33.81,54.69
Mar-2022,-18.69,42.22,60.91
Apr-2022,-20.07,38.19,58.26
May-2022,-24.29,37.29,61.58
Jun-2022,-26.18,37.94,64.12
Jul-2022,-30,35.24,65.24
Aug-2022,-28.68,33.92,62.6
Sep-2022,-25.71,32.62,58.33
Oct-2022,-26.91,29.78,56.69
Nov-2022,-23.89,31.99,55.88
Dec-2022,-23.76,34.48,58.24
Jan-2023,-17.75,32.91,50.66
Feb-2023,-17.43,33.88,51.31
Mar-2023,-19.73,41.96,61.69
Apr-2023,-15.24,34.66,49.9
May-2023,-22.12,34.98,57.1
Jun-2023,-20.13,32.97,53.1
Jul-2023,-20.67,32.25,52.92
Aug-2023,-24.16,34.48,58.64
Sep-2023,-19.37,34.47,53.84
Oct-2023,-31.46,33.57,65.03
Nov-2023,-23.89,33.9,57.79
Dec-2023,-18.22,38.45,56.67
Jan-2024,-17.85,39.12,56.97
Feb-2024,-16.93,40.25,57.18
Mar-2024,-19.22,42.11,61.33
Apr-2024,-18.75,38.22,56.97
May-2024,-20.11,37.89,58
Jun-2024,-21.33,36.45,57.78
Jul-2024,-22.15,35.67,57.82
Aug-2024,-21.89,36.22,58.11
Sep-2024,-20.45,37.89,58.34
Oct-2024,-22.67,36.45,59.12
Nov-2024,-21.89,37.22,59.11
Dec-2024,-20.12,39.45,59.57
Jan-2025,-21.45,38.67,60.12
Feb-2025,-22.11,37.89,60
Mar-2025,-22.5,38.2,60.7
